statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,hosphr,hospmin,hosptime,fhevent,holiday,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,vforms,rxing,reljuncinter,relrdwy,schlbus,spejur,trafid1,age,alcres,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,drugres1,drugres2,drugres3,drugtst1,drugtst2,drugtst3,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime
39,872,2,1,99,99,9999,1,1800,49,10182003,18,5,45,10,0,0,0,545,2003,7,99,99,9999,12,0,0,40.07940833,40,4,4587,2,-82.84259167,82,50,3333,8,191,1,99,99,9999,1,1,2,0,1,5,0,0,E DUBLIN GRANVILLE,31,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,1,8,1,0,1,99999
39,872,0,1,99,99,9999,1,1800,49,10182003,18,5,45,10,0,0,0,545,2003,7,99,99,9999,12,0,0,40.07940833,40,4,4587,2,-82.84259167,82,50,3333,8,191,1,99,99,9999,1,1,2,0,1,5,0,0,E DUBLIN GRANVILLE,48,0,1,10182003,18,6,4,10,604,2003,1,0,0,1,0,0,7,4,9,8,0,0,0,5,8,8,1,1,19
39,914,0,1,6,19,619,2,1800,49,10042003,4,6,15,10,0,0,0,615,2003,7,6,29,629,8,0,0,39.92101944,39,55,1567,2,-83.06148889,83,3,4136,0,96,0,6,15,615,1,1,1,0,1,1,0,0,US-62,67,0,1,10042003,4,6,56,10,656,2003,1,0,0,1,0,0,7,4,9,8,3,0,0,5,8,1,1,1,41
39,914,1,1,6,19,619,2,1800,49,10042003,4,6,15,10,0,0,0,615,2003,7,6,29,629,8,0,0,39.92101944,39,55,1567,2,-83.06148889,83,3,4136,0,96,0,6,15,615,1,1,1,0,1,1,0,0,US-62,80,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,1,0,0,0,2,99999
39,914,1,2,6,19,619,2,1800,49,10042003,4,6,15,10,0,0,0,615,2003,7,6,29,629,8,0,0,39.92101944,39,55,1567,2,-83.06148889,83,3,4136,0,96,0,6,15,615,1,1,1,0,1,1,0,0,US-62,76,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,2,8,8,0,2,99999
39,917,1,1,20,9,2009,1,1800,49,8112003,11,19,35,8,0,0,0,1935,2003,2,20,32,2032,12,0,0,39.83116389,39,49,5219,1,-82.9728,82,58,2208,5,15,0,20,5,2005,1,0,2,0,2,1,0,0,SR-317,39,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,1,0,0,0,1,99999
39,917,1,2,20,9,2009,1,1800,49,8112003,11,19,35,8,0,0,0,1935,2003,2,20,32,2032,12,0,0,39.83116389,39,49,5219,1,-82.9728,82,58,2208,5,15,0,20,5,2005,1,0,2,0,2,1,0,0,SR-317,13,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,917,1,3,20,9,2009,1,1800,49,8112003,11,19,35,8,0,0,0,1935,2003,2,20,32,2032,12,0,0,39.83116389,39,49,5219,1,-82.9728,82,58,2208,5,15,0,20,5,2005,1,0,2,0,2,1,0,0,SR-317,14,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,917,1,4,20,9,2009,1,1800,49,8112003,11,19,35,8,0,0,0,1935,2003,2,20,32,2032,12,0,0,39.83116389,39,49,5219,1,-82.9728,82,58,2208,5,15,0,20,5,2005,1,0,2,0,2,1,0,0,SR-317,80,96,0,8252003,25,8,19,8,819,2003,0,0,0,0,0,0,7,4,9,8,0,0,0,2,8,8,1,1,32444
39,917,2,1,20,9,2009,1,1800,49,8112003,11,19,35,8,0,0,0,1935,2003,2,20,32,2032,12,0,0,39.83116389,39,49,5219,1,-82.9728,82,58,2208,5,15,0,20,5,2005,1,0,2,0,2,1,0,0,SR-317,35,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,1,0,0,0,2,99999
