statenum,casenum,vnumber,pnumber,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,caseyear,dayofweek,fhevent,holiday,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,numfatal,vforms,schlbus,speeding,age,alcres,alcsts,alctst,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injury,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex
39,800,1,1,10,0,0,49,10132016,13,6,21,10,0,0,0,2016,5,8,0,39.95356111,39,57,12.82,2,-83.10275278,83,6,9.91,0,1,1,0,0,31,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,817,1,1,1,0,0,49,10192016,19,13,51,10,0,0,0,2016,4,52,0,39.90430278,39,54,15.49,1,-83.07999722,83,4,47.99,0,1,1,0,0,51,100,2,1,600,605,996,2,1,1,3,4,0,0,0,1,1,1,1,1
39,827,1,1,1,0,5550,49,10092016,9,17,12,10,0,0,0,2016,1,59,7,40.07994722,40,4,47.81,1,-82.77875278,82,46,43.51,0,1,1,0,1,33,996,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
39,827,1,2,1,0,5550,49,10092016,9,17,12,10,0,0,0,2016,1,59,7,40.07994722,40,4,47.81,1,-82.77875278,82,46,43.51,0,1,1,0,1,32,0,2,1,151,996,0,2,1,3,0,4,0,0,0,2,8,8,1,1
39,847,1,1,1,0,3200,49,10172016,17,9,25,10,0,0,0,2016,2,20,0,39.83985833,39,50,23.49,1,-83.09091111,83,5,27.28,0,1,2,0,0,41,0,2,1,151,189,300,2,1,1,1,4,0,0,0,1,0,0,1,1
39,847,2,1,1,0,3200,49,10172016,17,9,25,10,0,0,0,2016,2,20,0,39.83985833,39,50,23.49,1,-83.09091111,83,5,27.28,0,1,2,0,0,33,0,2,98,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
39,847,2,2,1,0,3200,49,10172016,17,9,25,10,0,0,0,2016,2,20,0,39.83985833,39,50,23.49,1,-83.09091111,83,5,27.28,0,1,2,0,0,50,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,1
39,847,2,3,1,0,3200,49,10172016,17,9,25,10,0,0,0,2016,2,20,0,39.83985833,39,50,23.49,1,-83.09091111,83,5,27.28,0,1,2,0,0,46,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,1
39,847,2,4,1,0,3200,49,10172016,17,9,25,10,0,0,0,2016,2,20,0,39.83985833,39,50,23.49,1,-83.09091111,83,5,27.28,0,1,2,0,0,22,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,1
39,899,1,1,1,0,1800,49,11112016,11,21,24,11,0,0,0,2016,6,12,0,39.88206944,39,52,55.45,3,-82.99828333,82,59,53.82,1,1,3,0,1,54,40,2,1,300,996,0,2,1,8,0,4,0,0,0,1,0,0,1,1
