statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,driverdrowsy,hosphr,hospmin,hosptime,fhevent,funcsystem,holiday,landuse,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,pforms,vforms,ownership,rxing,reljunc,reljuncinter,relrdwy,rtesign,schlbus,spejur,speeding,trafid1,trafid2,intersectiontype,conszone,age,alcres,alcsts,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,diedscene,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injurwrk,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime,takehosp
39,245,2,1,21,16,2116,1,0,0,49,5052016,5,21,8,5,0,0,0,2108,2016,5,0,21,44,2144,12,4,0,2,0,39.88877222,39,53,19.58,2,-82.91322778,82,54,47.62,6,0,0,21,11,2111,1,0,5,4,2,0,1,0,1,6,0,0,0,WILLIAMS RD,.,1,0,55,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,3,9,8,0,0,0,1,0,0,0,1,99999,5
39,245,3,1,21,16,2116,1,0,0,49,5052016,5,21,8,5,0,0,0,2108,2016,5,0,21,44,2144,12,4,0,2,0,39.88877222,39,53,19.58,2,-82.91322778,82,54,47.62,6,0,0,21,11,2111,1,0,5,4,2,0,1,0,1,6,0,0,0,WILLIAMS RD,.,1,0,34,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,1,0,0,0,1,99999,6
39,245,3,2,21,16,2116,1,0,0,49,5052016,5,21,8,5,0,0,0,2108,2016,5,0,21,44,2144,12,4,0,2,0,39.88877222,39,53,19.58,2,-82.91322778,82,54,47.62,6,0,0,21,11,2111,1,0,5,4,2,0,1,0,1,6,0,0,0,WILLIAMS RD,.,1,0,35,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,6
39,245,4,1,21,16,2116,1,0,0,49,5052016,5,21,8,5,0,0,0,2108,2016,5,0,21,44,2144,12,4,0,2,0,39.88877222,39,53,19.58,2,-82.91322778,82,54,47.62,6,0,0,21,11,2111,1,0,5,4,2,0,1,0,1,6,0,0,0,WILLIAMS RD,.,1,0,27,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,1,0,0,0,1,99999,0
39,254,1,1,3,5,305,1,0,0,49,5112016,11,2,47,5,19,0,0,247,2016,4,0,3,35,335,1,1,0,1,1,39.81956944,39,49,10.45,2,-83.172325,83,10,20.37,0,13,1,2,50,250,1,0,2,2,1,0,1,0,1,1,0,0,0,I-71,.,1,0,49,0,2,1,5112016,11,3,15,5,315,2016,7,417,401,996,2,3,1,3,1,7,4,9,8,0,0,0,1,0,0,1,1,28,0
39,254,2,1,3,5,305,1,0,0,49,5112016,11,2,47,5,19,0,0,247,2016,4,0,3,35,335,1,1,0,1,1,39.81956944,39,49,10.45,2,-83.172325,83,10,20.37,0,13,1,2,50,250,1,0,2,2,1,0,1,0,1,1,0,0,0,I-71,.,1,0,66,0,2,1,88888888,88,88,88,88,8888,8888,0,1,0,0,2,1,0,0,8,0,3,9,8,0,0,0,1,0,0,0,1,99999,5
39,255,0,1,15,48,1548,1,0,1800,49,5132016,13,15,44,5,16,0,0,1544,2016,6,0,15,57,1557,8,3,0,2,0,39.99356944,39,59,36.85,1,-83.00674167,83,0,24.27,0,15,1,15,45,1545,1,1,1,1,1,0,3,0,1,2,0,0,0,US-23 HIGH ST,9TH AVE,3,0,54,0,2,1,5132016,13,16,31,5,1631,2016,0,996,0,0,2,1,0,0,0,7,4,9,8,0,0,0,5,0,0,1,2,47,5
39,255,1,1,15,48,1548,1,0,1800,49,5132016,13,15,44,5,16,0,0,1544,2016,6,0,15,57,1557,8,3,0,2,0,39.99356944,39,59,36.85,1,-83.00674167,83,0,24.27,0,15,1,15,45,1545,1,1,1,1,1,0,3,0,1,2,0,0,0,US-23 HIGH ST,9TH AVE,3,0,42,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,1,0,0,0,2,99999,0
39,285,1,1,20,23,2023,1,0,1800,49,5152016,15,20,18,5,0,0,0,2018,2016,1,0,20,41,2041,24,1,0,2,0,39.93652222,39,56,11.48,5,-82.87864167,82,52,43.11,0,213,1,20,19,2019,1,0,3,1,1,0,1,0,4,1,0,0,0,I-70 E,.,1,0,26,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,1,0,0,0,2,99999,5
39,285,1,2,20,23,2023,1,0,1800,49,5152016,15,20,18,5,0,0,0,2018,2016,1,0,20,41,2041,24,1,0,2,0,39.93652222,39,56,11.48,5,-82.87864167,82,52,43.11,0,213,1,20,19,2019,1,0,3,1,1,0,1,0,4,1,0,0,0,I-70 E,.,1,0,29,20,2,1,5152016,15,20,18,5,2018,2016,7,605,0,0,2,1,0,0,0,7,4,9,8,5,0,0,2,8,8,1,1,0,0
39,285,1,3,20,23,2023,1,0,1800,49,5152016,15,20,18,5,0,0,0,2018,2016,1,0,20,41,2041,24,1,0,2,0,39.93652222,39,56,11.48,5,-82.87864167,82,52,43.11,0,213,1,20,19,2019,1,0,3,1,1,0,1,0,4,1,0,0,0,I-70 E,.,1,0,4,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,5
39,309,1,1,13,49,1349,1,0,0,49,5192016,19,13,47,5,0,0,0,1347,2016,5,0,88,88,8888,12,1,0,2,0,40.08227778,40,4,56.2,1,-82.90868333,82,54,31.26,7,306,1,13,49,1349,1,0,2,2,1,0,20,1,1,1,0,0,0,I-270,SR-161,1,0,46,0,2,1,5192016,19,13,54,5,1354,2016,7,1,0,0,2,1,0,0,1,7,4,9,8,0,0,0,1,0,0,1,1,7,0
39,309,2,1,13,49,1349,1,0,0,49,5192016,19,13,47,5,0,0,0,1347,2016,5,0,88,88,8888,12,1,0,2,0,40.08227778,40,4,56.2,1,-82.90868333,82,54,31.26,7,306,1,13,49,1349,1,0,2,2,1,0,20,1,1,1,0,0,0,I-270,SR-161,1,0,36,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,1,0,0,0,1,99999,0
39,310,1,1,23,7,2307,2,0,1800,49,5202016,20,22,57,5,0,0,0,2257,2016,6,0,23,21,2321,12,1,0,2,1,39.95798889,39,57,28.76,3,-82.98311944,82,58,59.23,2,171,1,23,0,2300,1,0,4,3,1,0,1,0,1,1,0,0,0,I-71,.,1,0,39,110,2,1,5202016,20,23,8,5,2308,2016,7,402,407,0,2,3,3,0,0,7,4,9,8,0,0,0,1,0,0,2,1,11,0
39,310,1,2,23,7,2307,2,0,1800,49,5202016,20,22,57,5,0,0,0,2257,2016,6,0,23,21,2321,12,1,0,2,1,39.95798889,39,57,28.76,3,-82.98311944,82,58,59.23,2,171,1,23,0,2300,1,0,4,3,1,0,1,0,1,1,0,0,0,I-71,.,1,0,39,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,3,9,8,0,0,0,2,8,8,0,2,99999,5
39,310,2,1,23,7,2307,2,0,1800,49,5202016,20,22,57,5,0,0,0,2257,2016,6,0,23,21,2321,12,1,0,2,1,39.95798889,39,57,28.76,3,-82.98311944,82,58,59.23,2,171,1,23,0,2300,1,0,4,3,1,0,1,0,1,1,0,0,0,I-71,.,1,0,62,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,1,0,0,0,1,99999,0
39,310,3,1,23,7,2307,2,0,1800,49,5202016,20,22,57,5,0,0,0,2257,2016,6,0,23,21,2321,12,1,0,2,1,39.95798889,39,57,28.76,3,-82.98311944,82,58,59.23,2,171,1,23,0,2300,1,0,4,3,1,0,1,0,1,1,0,0,0,I-71,.,1,0,32,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,1,0,0,0,1,99999,5
39,333,1,1,2,44,244,1,0,1800,49,6102016,10,2,40,6,0,0,0,240,2016,6,0,88,88,8888,30,3,0,2,0,40.06300278,40,3,46.81,2,-83.16091944,83,9,39.31,0,0,1,2,34,234,1,0,1,1,2,0,1,0,4,4,0,0,1,CR-3 AVERY RD,.,1,0,25,200,2,1,6102016,10,2,48,6,248,2016,7,996,0,0,2,1,0,0,0,7,4,9,8,0,0,0,1,0,0,1,1,8,0
39,343,0,1,16,58,1658,10,0,0,49,6022016,2,16,50,6,0,0,0,1650,2016,5,0,17,33,1733,53,4,0,2,0,40.03979167,40,2,23.25,1,-82.95092778,82,57,3.34,0,214,1,16,58,1658,1,2,1,1,1,0,1,0,4,3,0,0,0,SR-3 WESTERVILLE PIKE,.,1,0,23,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,5,0,0,0,1,99999,2
39,343,0,2,16,58,1658,10,0,0,49,6022016,2,16,50,6,0,0,0,1650,2016,5,0,17,33,1733,53,4,0,2,0,40.03979167,40,2,23.25,1,-82.95092778,82,57,3.34,0,214,1,16,58,1658,1,2,1,1,1,0,1,0,4,3,0,0,0,SR-3 WESTERVILLE PIKE,.,1,0,0,0,2,1,6022016,2,17,45,6,1745,2016,0,1,0,0,2,1,0,0,0,7,4,9,8,0,0,0,5,8,8,2,1,55,5
39,343,1,1,16,58,1658,10,0,0,49,6022016,2,16,50,6,0,0,0,1650,2016,5,0,17,33,1733,53,4,0,2,0,40.03979167,40,2,23.25,1,-82.95092778,82,57,3.34,0,214,1,16,58,1658,1,2,1,1,1,0,1,0,4,3,0,0,0,SR-3 WESTERVILLE PIKE,.,1,0,31,0,2,1,88888888,88,88,88,88,8888,8888,0,1,0,0,2,1,0,0,8,0,0,9,8,0,0,0,1,0,0,0,2,99999,0
39,344,1,1,13,36,1336,1,0,0,49,6032016,3,13,27,6,0,0,0,1327,2016,6,0,88,88,8888,12,3,0,2,0,39.85590278,39,51,21.25,1,-82.93835,82,56,18.06,6,0,1,13,30,1330,1,0,2,2,2,0,2,0,1,4,0,0,0,CR-122 ALUM CREEK DR,CR-229 BIXBY RD,2,0,66,0,2,1,88888888,88,88,88,88,8888,8888,0,996,0,0,2,1,0,0,8,0,0,9,8,0,0,0,1,0,0,0,2,99999,0
39,344,2,1,13,36,1336,1,0,0,49,6032016,3,13,27,6,0,0,0,1327,2016,6,0,88,88,8888,12,3,0,2,0,39.85590278,39,51,21.25,1,-82.93835,82,56,18.06,6,0,1,13,30,1330,1,0,2,2,2,0,2,0,1,4,0,0,0,CR-122 ALUM CREEK DR,CR-229 BIXBY RD,2,0,41,0,2,1,6032016,3,13,36,6,1336,2016,7,1,0,0,2,1,0,0,0,7,4,9,8,0,0,0,1,0,0,1,1,9,0
39,350,1,1,20,27,2027,1,0,1800,49,6102016,10,20,19,6,0,0,0,2019,2016,6,0,88,88,8888,30,5,0,2,0,39.9244,39,55,27.84,1,-82.92226111,82,55,20.14,0,0,0,20,21,2021,1,0,1,1,4,0,1,0,4,6,0,0,0,COLLEGE AVE,.,1,0,32,0,2,1,6102016,10,20,31,6,2031,2016,7,300,996,177,2,3,3,1,0,7,4,9,8,0,0,0,1,0,0,1,1,12,0
39,369,1,1,2,33,233,1,0,1800,49,6202016,20,2,25,6,0,0,0,225,2016,2,0,2,43,243,21,4,0,2,0,39.98508889,39,59,6.32,3,-82.95593056,82,57,21.35,0,0,0,2,28,228,1,0,1,1,4,0,1,0,4,6,0,0,0,E 5TH AVE,.,1,0,38,996,0,0,6202016,20,2,29,6,229,2016,0,0,0,0,0,0,0,0,0,7,4,9,8,0,0,0,1,0,0,2,1,4,5
39,381,1,1,19,11,1911,1,0,0,49,6182016,18,19,2,6,0,0,0,1902,2016,7,0,88,88,8888,12,4,0,2,1,40.07858333,40,4,42.9,1,-82.92849722,82,55,42.59,6,243,1,19,7,1907,1,0,2,2,1,0,2,0,1,3,0,0,1,SR-3 WESTERVILLE PIKE,CR-7005 CORPORATE DR,3,0,48,0,2,1,88888888,88,88,88,88,8888,8888,0,1,0,0,2,1,0,0,8,0,1,9,8,0,0,0,1,0,0,0,1,99999,0
39,381,2,1,19,11,1911,1,0,0,49,6182016,18,19,2,6,0,0,0,1902,2016,7,0,88,88,8888,12,4,0,2,1,40.07858333,40,4,42.9,1,-82.92849722,82,55,42.59,6,243,1,19,7,1907,1,0,2,2,1,0,2,0,1,3,0,0,1,SR-3 WESTERVILLE PIKE,CR-7005 CORPORATE DR,3,0,27,60,2,1,6182016,18,19,6,6,1906,2016,7,1,0,0,2,2,0,0,0,7,4,9,8,0,0,0,1,0,0,1,1,4,0
39,388,0,1,23,21,2321,1,0,1800,49,6102016,10,23,18,6,0,0,0,2318,2016,6,0,23,38,2338,8,4,0,2,0,39.94612222,39,56,46.04,3,-82.90227222,82,54,8.18,0,0,0,23,18,2318,1,1,2,1,2,0,2,0,1,4,0,0,0,CR-15 LIVINGSTON AVE,CUNARD RD,3,0,44,996,0,0,6242016,24,15,28,6,1528,2016,0,0,0,0,0,0,0,0,0,7,4,9,8,0,0,0,5,0,0,2,1,32810,5
39,388,1,1,23,21,2321,1,0,1800,49,6102016,10,23,18,6,0,0,0,2318,2016,6,0,23,38,2338,8,4,0,2,0,39.94612222,39,56,46.04,3,-82.90227222,82,54,8.18,0,0,0,23,18,2318,1,1,2,1,2,0,2,0,1,4,0,0,0,CR-15 LIVINGSTON AVE,CUNARD RD,3,0,72,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,1,0,0,0,2,99999,0
39,388,1,2,23,21,2321,1,0,1800,49,6102016,10,23,18,6,0,0,0,2318,2016,6,0,23,38,2338,8,4,0,2,0,39.94612222,39,56,46.04,3,-82.90227222,82,54,8.18,0,0,0,23,18,2318,1,1,2,1,2,0,2,0,1,4,0,0,0,CR-15 LIVINGSTON AVE,CUNARD RD,3,0,70,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,2,8,8,0,2,99999,0
